bullous lesion|C0005758
blister, nos|C0005758
blistering eruption|C0005758
bulla|C0005758
bullae|C0005758
blebs|C0005758
vesications|C0005758
blisters|C0005758
vesication|C0005758
skin vesicle|C0005758
bullous lesions|C0005758
blistering|C0005758
blister|C0005758
disorder, hemostasis|C0005779
coagulation disorders, blood|C0005779
abnormal coagulation|C0005779
disorders, blood coagulation|C0005779
disorder of hemostasis|C0005779
blood coagulation disorder|C0005779
disorder, coagulation|C0005779
coagulation disorders|C0005779
hemostatic function, abnormal|C0005779
clotting disorder|C0005779
disorder of hemostasis, nos|C0005779
disorder of haemostasis|C0005779
bleeding disorders|C0005779
coagulation defects|C0005779
blood coagulation disorder, nos|C0005779
blood clotting disorder|C0005779
coagulation disorder, nos|C0005779
blood coagulation disorder, disease or syndrome|C0005779
disorder, blood coagulation|C0005779
coagulation defect|C0005779
defective coagulation nos|C0005779
disorder of haemostasis, nos|C0005779
disorders of coagulation|C0005779
blood coagulation disorders, diseases and syndromes|C0005779
hemostatic disorder|C0005779
blood clotting disorders|C0005779
bleeding tendency|C0005779
coagulation defect, unspecified|C0005779
coagulopathy|C0005779
disorder coagulation|C0005779
bleeding diathesis|C0005779
disorders of blood coagulation|C0005779
coagulation, disorders of|C0005779
coagulopathies|C0005779
clotting disorders|C0005779
coagulation disorder, blood|C0005779
abnormality of the coagulation cascade|C0005779
blood coagulation disorders|C0005779
coagulopathy, nos|C0005779
blood clotting disorder, nos|C0005779
bleeding disorder|C0005779
clotting|C0005779
disorder of haemostatic system|C0005779
blood coagulation defect|C0005779
disorder of hemostatic system|C0005779
coagulation disorder|C0005779
coagulation disorder nos|C0005779
blushing|C0005874
flushes|C0005874
face goes red|C0005874
blushings|C0005874
blush|C0005874
blushing, function|C0005874
blushes|C0005874
spasms, bronchial|C0006266
bronchial spasm|C0006266
spasm, bronchial|C0006266
spasm bronchial|C0006266
bronchospasm nos|C0006266
bronchospasm|C0006266
bronchial spasms|C0006266
bronchospasms|C0006266
hs-crp|C0006560
high sensitivity c reactive protein|C0006560
high sensitivity c-reactive protein|C0006560
hscrp|C0006560
c reactive proteins|C0006560
proteins, specific or class, c-reactive|C0006560
c-reactive protein|C0006560
c reactive protein|C0006560
crp - c-reactive protein|C0006560
general body deterioration|C0006625
cachexia|C0006625
cachectic|C0006625
cachexia, nos|C0006625
wasting|C0006625
wasting syndrome|C0006625
ca - cancer|C0006826
malignancy|C0006826
malignant neoplasm|C0006826
neoplasms, malignant|C0006826
tumor, malignant|C0006826
unclassified tumour, malignant|C0006826
neoplasm/cancer|C0006826
cancer nos|C0006826
tumour, malignant|C0006826
malignant tumors|C0006826
tumor, malignant, nos|C0006826
malignant growth|C0006826
malignant tumour|C0006826
unclassified tumor, malignant|C0006826
malignant neoplastic disease|C0006826
malignancies|C0006826
cancers|C0006826
neoplasm malignant|C0006826
malignant neoplasm nos|C0006826
cancer|C0006826
neoplasm, malignant|C0006826
malignancy nos|C0006826
malignant tumours|C0006826
cancer, nos|C0006826
malignant neoplasm without specification of site|C0006826
cancer, unspecified site|C0006826
neoplastic disease, malignant|C0006826
malignant tumor|C0006826
malignancy, unspecified site|C0006826
malignant tumoral disease|C0006826
malignant neoplasms|C0006826
cardiovascular system--diseases|C0007222
cardiovascular disease|C0007222
cardiovascular disease, nos|C0007222
cardiovascular disorder nos|C0007222
cv disorders|C0007222
disease of cardiovascular system, nos|C0007222
cardiovascular disorder|C0007222
cvd, nos|C0007222
cardiovascular diseases|C0007222
cvs disease|C0007222
cvs disease - cardiovascular system disease|C0007222
cardiovascular disease, unspecified|C0007222
disease or syndrome of cardiovascular system|C0007222
cardiovascular disorder, nos|C0007222
diseases of the cardiovascular system|C0007222
cardiovascular disorders|C0007222
cardiovascular disorders, general|C0007222
disorder of cardiovascular system|C0007222
diseases and syndromes of cardiovascular system|C0007222
diseases affecting the entire cardiovascular system|C0007222
diseases, cardiovascular|C0007222
cardiovascular system disease|C0007222
disease, cardiovascular|C0007222
general cardiovascular system diseases and syndromes|C0007222
cvd - cardiovascular disease|C0007222
cardiovascular system diseases|C0007222
cell count procedure|C0007584
counts, cell|C0007584
numbers, cell|C0007584
number, cell|C0007584
cells|C0007584
cell counting|C0007584
count, cell|C0007584
cell count|C0007584
cell number|C0007584
cells count|C0007584
cells counts|C0007584
cell numbers|C0007584
cell counts|C0007584
wall chest pain|C0008035
chest wall pain|C0008035
pain chest wall|C0008035
chest pain localizing to the chest wall|C0008035
chest pain localizing to chest wall|C0008035
chest pain wall|C0008035
chest pains wall|C0008035
choke|C0008301
choking|C0008301
choked|C0008301
fear of enclosed spaces|C0008909
fear of confined spaces|C0008909
claustrophobias|C0008909
fear of closed spaces|C0008909
claustrophobia|C0008909
cold feelings|C0009269
cold intolerance|C0009269
cold feel|C0009269
feels the cold|C0009269
intolerance cold|C0009269
sensitive cold|C0009269
sensitive to cold|C0009269
cold sensitive|C0009269
sensitivity cold|C0009269
chilly person|C0009269
cold sensitivity|C0009269
intolerant of cold|C0009269
feel cold|C0009269
colds, common|C0009443
nasopharyngitis, acute|C0009443
infective nasopharyngitis nos|C0009443
cold, common|C0009443
acute coryza|C0009443
rhinitis infectious|C0009443
infective nasopharyngitis|C0009443
rhinitis infective|C0009443
infective rhinitis|C0009443
coryza, acute|C0009443
infective nasopharyngitis, nos|C0009443
head cold, nos|C0009443
colds|C0009443
head cold|C0009443
rhinitis, infective|C0009443
acute nasal catarrh|C0009443
upper respiratory infection acute|C0009443
acute nasopharyngitis|C0009443
rhinitis acute|C0009443
upper respiratory infection viral|C0009443
viral upper respiratory infection|C0009443
nasal catarrh, acute|C0009443
acute infective rhinitis|C0009443
common cold|C0009443
non-allergic rhinitis|C0009443
infectious rhinitis|C0009443
common colds|C0009443
acute rhinitis|C0009443
coryza|C0009443
rhinitis, acute|C0009443
acute nasopharyngitis, nos|C0009443
common cold syndrome|C0009443
disease due to infection|C0009450
disease caused by microorganism|C0009450
infectious|C0009450
infectious or communicable disease|C0009450
microbial colonization|C0009450
infections and infestations|C0009450
infectious disorders|C0009450
infective disorder|C0009450
infection unspecified|C0009450
rndx infection unspecified|C0009450
unspecified infection|C0009450
infectious disease nos|C0009450
disorder due to infection|C0009450
contagious diseases|C0009450
infection, nos|C0009450
infectious disorder|C0009450
clinical infection|C0009450
infectious diseases|C0009450
infectious diseases and manifestations|C0009450
communicable infectious disease|C0009450
contagious disease, nos|C0009450
disease, communicable|C0009450
diseases, infectious|C0009450
communicable disease, nos|C0009450
communicable disease|C0009450
infectious disease, nos|C0009450
communicable diseases|C0009450
diseases, communicable|C0009450
contagious disease|C0009450
transmissible disease, nos|C0009450
disease, infectious|C0009450
infectious disease|C0009450
infection|C0009450
confused|C0009676
mental disorientation|C0009676
states, confusional|C0009676
easily confused|C0009676
confusion|C0009676
confusion state|C0009676
rndx confusion|C0009676
confusion disorientation|C0009676
confusion nos|C0009676
confusion was observed|C0009676
confusion and disorientation|C0009676
bewilderment|C0009676
muddled|C0009676
confusion/ disorientation|C0009676
state, confusional|C0009676
feeling dazed|C0009676
mental confusion|C0009676
dazed state|C0009676
cognitive functions confusion|C0009676
confusional states|C0009676
confusional state|C0009676
dazing|C0009676
delirium confusional state|C0009676
disorientation|C0009676
dazed|C0009676
disorientation confusion|C0009676
coronary heart disease|C0010054
atherosclerosis of coronary artery|C0010054
ischaemic heart disease|C0010054
atherosclerotic heart disease nos|C0010054
atherosclerosis of native coronary artery|C0010054
atherosclerosis coronary artery|C0010054
coronary artery arteriosclerosis|C0010054
plaque build-up in arteries supplying blood to heart|C0010054
coronary atherosclerotic heart disease|C0010054
atherosclerosis, coronary|C0010054
arteriosclerotic heart disease|C0010054
cardiac ischemia|C0010054
coronary atherosclerosis|C0010054
coronary artery atherosclerosis|C0010054
arteriosclerotic coronary artery disease|C0010054
arteriosclerosis, coronary|C0010054
atherosclerotic coronary vascular disease|C0010054
atherosclerotic heart disease|C0010054
coronary atheroscleroses|C0010054
coronary artery disease|C0010054
atheroscleroses, coronary|C0010054
myocardial ischemia|C0010054
coronary arteriosclerosis|C0010054
cardiac sclerosis|C0010054
coronary atheroma|C0010054
coronary sclerosis|C0010054
cardiac ischaemia|C0010054
myocardial ischaemia|C0010054
coronary artery sclerosis|C0010054
coronary artery diseases|C0010054
arteriosclerosis coronary artery|C0010054
coronary arterioscleroses|C0010054
arterioscleroses, coronary|C0010054
cough|C0010200
coughs|C0010200
coughing|C0010200
cough, nos|C0010200
coughing symptom|C0010200
observation of cough|C0010200
coughing - function|C0010200
cough symptoms|C0010200
cough symptom|C0010200
chronic coughing|C0010201
cough, chronic|C0010201
chronic cough|C0010201
chronic coughs|C0010201
cough chronic|C0010201
critically ill|C0010340
illnesses, critical|C0010340
critical illnesses|C0010340
critical illness|C0010340
illness, critical|C0010340
cf - cystic fibrosis|C0010674
pancreas cystic fibrosis|C0010674
fibrosis, cystic|C0010674
cystic fibrosis, unspecified|C0010674
fibrocystic disease of pancreas|C0010674
fibrocystic disease|C0010674
diseases fibrocystic|C0010674
disease fibrocystic pancreas|C0010674
cystic fibrosis nos|C0010674
cystic fibrosis|C0010674
cystic disorder fibrosis|C0010674
disease fibrocystic|C0010674
mucoviscidosis|C0010674
cystic fibrosis pancreas|C0010674
dysphagia/ odynophagia|C0011168
swallowing disorders|C0011168
swallowing difficulties|C0011168
swallowing difficult|C0011168
