"feature_name","count_type","description"
"n_X389.1","count of new-onset features post-COVID-19 infection per patient","PheCode389.1"
"n_X395.2","count of new-onset features post-COVID-19 infection per patient","PheCode395.2"
"n_X401","count of new-onset features post-COVID-19 infection per patient","PheCode401"
"n_X411","count of new-onset features post-COVID-19 infection per patient","PheCode411"
"n_X411.8","count of new-onset features post-COVID-19 infection per patient","PheCode411.8"
"n_X415.2","count of new-onset features post-COVID-19 infection per patient","PheCode415.2"
"n_X416","count of new-onset features post-COVID-19 infection per patient","PheCode416"
"n_X418","count of new-onset features post-COVID-19 infection per patient","PheCode418"
"n_X425","count of new-onset features post-COVID-19 infection per patient","PheCode425"
"n_X426","count of new-onset features post-COVID-19 infection per patient","PheCode426"
"n_X428","count of new-onset features post-COVID-19 infection per patient","PheCode428"
"n_X452","count of new-onset features post-COVID-19 infection per patient","PheCode452"
"n_X455","count of new-onset features post-COVID-19 infection per patient","PheCode455"
"n_X458","count of new-onset features post-COVID-19 infection per patient","PheCode458"
"n_X459.9","count of new-onset features post-COVID-19 infection per patient","PheCode459.9"
"n_X465.2","count of new-onset features post-COVID-19 infection per patient","PheCode465.2"
"n_X473","count of new-onset features post-COVID-19 infection per patient","PheCode473"
"n_X473.4","count of new-onset features post-COVID-19 infection per patient","PheCode473.4"
"n_X480.2","count of new-onset features post-COVID-19 infection per patient","PheCode480.2"
"n_X495","count of new-onset features post-COVID-19 infection per patient","PheCode495"
"n_X496.2","count of new-onset features post-COVID-19 infection per patient","PheCode496.2"
"n_X508","count of new-onset features post-COVID-19 infection per patient","PheCode508"
"n_X509.2","count of new-onset features post-COVID-19 infection per patient","PheCode509.2"
"n_X509.8","count of new-onset features post-COVID-19 infection per patient","PheCode509.8"
"n_X513","count of new-onset features post-COVID-19 infection per patient","PheCode513"
"n_X514","count of new-onset features post-COVID-19 infection per patient","PheCode514"
"n_X521","count of new-onset features post-COVID-19 infection per patient","PheCode521"
"n_X523","count of new-onset features post-COVID-19 infection per patient","PheCode523"
"n_X530","count of new-onset features post-COVID-19 infection per patient","PheCode530"
"n_X555","count of new-onset features post-COVID-19 infection per patient","PheCode555"
"n_X560","count of new-onset features post-COVID-19 infection per patient","PheCode560"
"n_X565","count of new-onset features post-COVID-19 infection per patient","PheCode565"
"n_X574.1","count of new-onset features post-COVID-19 infection per patient","PheCode574.1"
"n_X585.4","count of new-onset features post-COVID-19 infection per patient","PheCode585.4"
"n_X591","count of new-onset features post-COVID-19 infection per patient","PheCode591"
"n_X593","count of new-onset features post-COVID-19 infection per patient","PheCode593"
"n_X599.3","count of new-onset features post-COVID-19 infection per patient","PheCode599.3"
"n_X600","count of new-onset features post-COVID-19 infection per patient","PheCode600"
"n_X681","count of new-onset features post-COVID-19 infection per patient","PheCode681"
"n_X687.2","count of new-onset features post-COVID-19 infection per patient","PheCode687.2"
"n_X689","count of new-onset features post-COVID-19 infection per patient","PheCode689"
"n_X694.2","count of new-onset features post-COVID-19 infection per patient","PheCode694.2"
"n_X700","count of new-onset features post-COVID-19 infection per patient","PheCode700"
"n_X703.1","count of new-onset features post-COVID-19 infection per patient","PheCode703.1"
"n_X704","count of new-onset features post-COVID-19 infection per patient","PheCode704"
"n_X706","count of new-onset features post-COVID-19 infection per patient","PheCode706"
"n_X707.2","count of new-onset features post-COVID-19 infection per patient","PheCode707.2"
"n_X714","count of new-onset features post-COVID-19 infection per patient","PheCode714"
"n_X721","count of new-onset features post-COVID-19 infection per patient","PheCode721"
"n_X735.1","count of new-onset features post-COVID-19 infection per patient","PheCode735.1"
"n_X735.3","count of new-onset features post-COVID-19 infection per patient","PheCode735.3"
"n_X740.2","count of new-onset features post-COVID-19 infection per patient","PheCode740.2"
"n_X743.1","count of new-onset features post-COVID-19 infection per patient","PheCode743.1"
"n_X760","count of new-onset features post-COVID-19 infection per patient","PheCode760"
"n_X770","count of new-onset features post-COVID-19 infection per patient","PheCode770"
"n_X772.2","count of new-onset features post-COVID-19 infection per patient","PheCode772.2"
"n_X781","count of new-onset features post-COVID-19 infection per patient","PheCode781"
"n_X783","count of new-onset features post-COVID-19 infection per patient","PheCode783"
"n_X962.3","count of new-onset features post-COVID-19 infection per patient","PheCode962.3"
"n_X994","count of new-onset features post-COVID-19 infection per patient","PheCode994"
"m_X079","number of distinct months the feature was observed","PheCode079"
"m_X1019","number of distinct months the feature was observed","PheCode1019"
"m_X288","number of distinct months the feature was observed","PheCode288"
"m_X316","number of distinct months the feature was observed","PheCode316"
"m_X357","number of distinct months the feature was observed","PheCode357"
"m_X362.2","number of distinct months the feature was observed","PheCode362.2"
"m_X365.1","number of distinct months the feature was observed","PheCode365.1"
"m_X366.2","number of distinct months the feature was observed","PheCode366.2"
"m_X368","number of distinct months the feature was observed","PheCode368"
"m_X374","number of distinct months the feature was observed","PheCode374"
"m_X426.3","number of distinct months the feature was observed","PheCode426.3"
"m_X428.3","number of distinct months the feature was observed","PheCode428.3"
"m_X428.4","number of distinct months the feature was observed","PheCode428.4"
"m_X433.8","number of distinct months the feature was observed","PheCode433.8"
"m_X480.1","number of distinct months the feature was observed","PheCode480.1"
"m_X600","number of distinct months the feature was observed","PheCode600"
"m_X695","number of distinct months the feature was observed","PheCode695"
"m_X702","number of distinct months the feature was observed","PheCode702"
"m_X702.1","number of distinct months the feature was observed","PheCode702.1"
"m_X704","number of distinct months the feature was observed","PheCode704"
"m_X722.6","number of distinct months the feature was observed","PheCode722.6"
"m_X726.1","number of distinct months the feature was observed","PheCode726.1"
"n_X079","count of new-onset features post-COVID-19 infection per patient","PheCode079"
"n_X1009","count of new-onset features post-COVID-19 infection per patient","PheCode1009"
"n_X280.1","count of new-onset features post-COVID-19 infection per patient","PheCode280.1"
"n_X295.1","count of new-onset features post-COVID-19 infection per patient","PheCode295.1"
"n_X340.1","count of new-onset features post-COVID-19 infection per patient","PheCode340.1"
"n_X365","count of new-onset features post-COVID-19 infection per patient","PheCode365"
"n_X427.1","count of new-onset features post-COVID-19 infection per patient","PheCode427.1"
"n_X427.9","count of new-onset features post-COVID-19 infection per patient","PheCode427.9"
"n_X562","count of new-onset features post-COVID-19 infection per patient","PheCode562"
"n_X577","count of new-onset features post-COVID-19 infection per patient","PheCode577"
"n_X703","count of new-onset features post-COVID-19 infection per patient","PheCode703"
"n_X707.1","count of new-onset features post-COVID-19 infection per patient","PheCode707.1"
"n_X722","count of new-onset features post-COVID-19 infection per patient","PheCode722"
"n_X994.2","count of new-onset features post-COVID-19 infection per patient","PheCode994.2"
"m_AB0002086","number of distinct months the feature was observed","NLP concept CUI AB0002086"
"m_AB0004170","number of distinct months the feature was observed","NLP concept CUI AB0004170"
